millis,stamp,datetime,soilmoisture
31000, 1565961060, 2019/8/16 13:11:0, 624
62000, 1565961060, 2019/8/16 13:11:0, 612
92998, 1565961060, 2019/8/16 13:11:0, 606
124000, 1565961060, 2019/8/16 13:11:0, 604
154998, 1565961060, 2019/8/16 13:11:0, 602
185999, 1565961060, 2019/8/16 13:11:0, 601
216998, 1565961060, 2019/8/16 13:11:0, 600
247999, 1565961060, 2019/8/16 13:11:0, 600
279000, 1565961060, 2019/8/16 13:11:0, 600
310000, 1565961060, 2019/8/16 13:11:0, 600
341000, 1565961060, 2019/8/16 13:11:0, 601
371998, 1565961060, 2019/8/16 13:11:0, 602
402999, 1565961060, 2019/8/16 13:11:0, 603
433998, 1565961060, 2019/8/16 13:11:0, 603
464999, 1565961060, 2019/8/16 13:11:0, 604
495998, 1565961060, 2019/8/16 13:11:0, 604
526999, 1565961060, 2019/8/16 13:11:0, 604
558000, 1565961060, 2019/8/16 13:11:0, 604
588999, 1565961060, 2019/8/16 13:11:0, 605
620000, 1565961060, 2019/8/16 13:11:0, 605
650999, 1565961060, 2019/8/16 13:11:0, 606
682000, 1565961060, 2019/8/16 13:11:0, 606
712999, 1565961060, 2019/8/16 13:11:0, 606
743999, 1565961060, 2019/8/16 13:11:0, 607
774999, 1565961060, 2019/8/16 13:11:0, 607
805999, 1565961060, 2019/8/16 13:11:0, 607
836999, 1565961060, 2019/8/16 13:11:0, 608
867999, 1565961060, 2019/8/16 13:11:0, 608
899000, 1565961060, 2019/8/16 13:11:0, 608
929999, 1565961060, 2019/8/16 13:11:0, 609
961000, 1565961060, 2019/8/16 13:11:0, 609
992000, 1565961060, 2019/8/16 13:11:0, 609
1023000, 1565961060, 2019/8/16 13:11:0, 610
1053999, 1565961060, 2019/8/16 13:11:0, 610
1084998, 1565961060, 2019/8/16 13:11:0, 610
1116000, 1565961060, 2019/8/16 13:11:0, 610
1146999, 1565961060, 2019/8/16 13:11:0, 611
1177999, 1565961060, 2019/8/16 13:11:0, 611
1208998, 1565961060, 2019/8/16 13:11:0, 611
1239999, 1565961060, 2019/8/16 13:11:0, 611
1270999, 1565961060, 2019/8/16 13:11:0, 611
