millis,stamp,datetime,soilmoisture
1800999,1565961060, 2019/8/16 19:08:53,586
3601999,1565961060, 2019/8/16 19:38:55,595
5402999,1565961060, 2019/8/16 20:08:57,599
7203999,1565961060, 2019/8/16 20:38:59,600
9004999,1565961060, 2019/8/16 21:09:01,602
10805999,1565961060, 2019/8/16 21:39:03,604
12606999,1565961060, 2019/8/16 22:09:01,603
14407999,1565961060, 2019/8/16 22:39:07,601
16208999,1565961060, 2019/8/16 23:09:09,597
18009999,1565961060, 2019/8/16 23:39:11,560
1800998,1565961060, 2019/8/16 00:09:13,553
3601999,1565961060, 2019/8/16 01:11:49,549
5402999,1565961060, 2019/8/16 01:41:51,542
7203999,1565961060, 2019/8/16 02:11:53,530
9004999,1565961060, 2019/8/16 02:41:55,511
10805999,1565961060, 2019/8/16 03:11:57,500
12606999,1565961060, 2019/8/16 03:41:59,497
14407999,1565961060, 2019/8/16 04:12:01,493
16208999,1565961060, 2019/8/16 04:42:03,494
18009999,1565961060, 2019/8/16 05:12:05,494
19810999,1565961060, 2019/8/16 05:42:07,494
21611999,1565961060, 2019/8/16 06:12:09,494
23412999,1565961060, 2019/8/16 06:42:11,494
25214000,1565961060, 2019/8/16 07:12:13,492
27014999,1565961060, 2019/8/16 07:42:42,492
